OrderID,CustomerName,MenuItem,Quantity,OrderDate,PricePerUnit,TotalPrice
76031,Brooke Smith,Cheesecake,2,2023-02-19 01:11:13,23.66,47.32
40819,Kathleen Saunders,Burger,4,2023-06-29 20:34:28,21.05,84.2
50396,Robert Martinez,Beer,2,2023-04-06 05:44:19,13.17,26.34
52087,David Williams,Cheesecake,1,2023-12-19 21:37:16,11.51,11.51
97142,Curtis Ramos,Pasta,3,2023-07-28 07:32:54,29.77,89.31
83110,Cheryl Gross,Pasta,1,2023-06-04 10:36:31,41.46,41.46
52721,Paula James,Cheesecake,1,2023-05-06 03:33:07,44.93,44.93
63375,Daniel Kemp,Chicken Wings,3,2023-01-17 17:28:39,6.86,20.58
43568,Dawn Rodriguez,Coffee,3,2023-10-12 03:40:18,21.2,63.6
9809,Justin Howard,Burger,2,2023-02-01 04:29:21,8.45,16.9
31356,Jacob Phillips,Spring Rolls,1,2023-01-27 14:30:56,17.64,17.64
58572,Tyler Wilson,Coffee,4,2023-07-15 00:45:11,30.11,120.44
39622,Maria Quinn,Chocolate Cake,1,2023-10-14 14:21:41,42.95,42.95
45558,Aaron Chaney,Soda,3,2023-12-19 14:30:27,30.32,90.96
95166,Dana Duncan,Chicken Wings,4,2023-07-24 17:12:09,22.54,90.16
4537,Daniel Garcia,Chicken Wings,1,2023-11-27 02:38:50,16.93,16.93
64366,Christopher Miller,Garlic Bread,1,2023-08-23 17:02:55,27.15,27.15
69650,Jose Nichols,Soda,3,2023-08-10 17:46:49,5.78,17.34
92629,Mark Weaver,Steak,5,2023-06-20 07:19:43,46.13,230.65
39816,Vanessa Johnston,Ice Cream,3,2023-10-06 23:18:44,13.09,39.27
38104,Lori Phillips,Chicken Wings,5,2023-02-08 19:56:55,38.88,194.4
1956,Mark Dougherty,Wine,5,2023-05-27 11:01:57,44.51,222.55
28334,Amanda Berger,Chocolate Cake,4,2023-12-10 07:27:13,28.53,114.12
46675,Kristin Baxter,Chicken Wings,1,2023-09-26 04:29:06,21.46,21.46
22276,Samantha Torres,Steak,3,2023-10-11 13:06:16,38.69,116.07
79282,Tammy Campbell,Chicken Wings,5,2023-02-12 08:52:22,21.37,106.85
31219,Janet Morales,Wine,1,2023-07-11 00:38:17,42.78,42.78
670,Denise Brady,Garlic Bread,3,2023-01-24 05:04:57,26.9,80.7
20567,Jessica Williams,Steak,2,2023-04-19 08:40:36,26.22,52.44
88284,Christopher Parks,Wine,2,2023-06-23 04:49:32,37.27,74.54
3944,Dana Ruiz,Ice Cream,1,2023-07-29 19:12:11,12.78,12.78
99674,Madison Montgomery,Garlic Bread,5,2023-09-20 00:29:49,33.77,168.85
97696,Timothy Valentine,Chicken Wings,4,2023-01-28 08:10:57,11.27,45.08
32456,Julia Hanna,Wine,2,2023-05-31 23:15:29,40.43,80.86
66470,Brett Small,Pasta,2,2023-11-05 11:08:16,33.67,67.34
32588,Danielle Martinez,Pizza,2,2023-09-24 22:08:59,32.63,65.26
65369,Jessica Chapman,Soda,3,2023-07-21 04:59:50,37.82,113.46
83373,Alicia Herrera,Burger,3,2023-06-28 23:29:22,30.79,92.37
33779,Steve Acosta,Ice Cream,4,2023-08-21 21:56:25,22.68,90.72
25270,Richard King,Pizza,1,2023-02-07 01:43:45,24.36,24.36
65261,Chad Edwards,Cheesecake,1,2023-05-13 21:22:01,13.22,13.22
13289,William Thompson,Chocolate Cake,4,2023-01-21 14:43:09,12.99,51.96
1480,Joseph Ramsey,Chocolate Cake,5,2023-05-26 18:05:11,17.1,85.5
97980,Paula Miller,Chocolate Cake,5,2023-07-15 21:12:30,48.41,242.05
99157,Adam Lewis,Chocolate Cake,3,2023-03-01 09:05:33,49.62,148.86
92584,Michael Medina,Burger,5,2023-12-05 17:41:21,6.24,31.2
72162,Jason Patrick,Coffee,1,2023-02-28 03:17:24,43.08,43.08
13453,Chad Young,Pizza,3,2023-11-10 18:34:06,48.03,144.09
58919,Angel Williams,Chicken Wings,2,2023-02-12 13:45:20,20.62,41.24
91085,James Barnett,Chicken Wings,3,2023-10-22 09:26:27,18.48,55.44
79527,Elizabeth Chavez,Cheesecake,1,2023-12-29 11:03:21,43.65,43.65
64742,Tracy Nielsen,Chicken Wings,3,2023-11-03 05:43:43,33.26,99.78
17456,Terri Ferguson,Spring Rolls,5,2023-02-24 04:50:54,26.29,131.45
35754,William Chapman,Pasta,1,2023-10-20 19:07:42,30.74,30.74
71127,Colleen Johnson,Garlic Bread,3,2023-10-04 01:20:59,35.34,106.02
